canonical_smiles,pIC50,MolWt,LogP,HDonors,HAcceptors,TPSA,RotatableBonds
Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1,2.221848749616356,516.6670000000001,4.267720000000003,2.0,7.0,77.93,9.0
COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,2.0,440.3630000000002,3.010300000000001,1.0,5.0,61.88,5.0
Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4ccc(-c5ccccc5)cc4)CC3)ccc2s1,1.5086383061657274,516.6670000000001,4.267720000000003,2.0,7.0,77.93,9.0
CCn1c2ccccc2c2cc(NC(=O)CN3CCN(C[C@@H](O)COc4ccc5sc(C)nc5c4)CC3)ccc21,1.0,557.7200000000001,4.728520000000005,2.0,8.0,82.86000000000001,9.0
COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1.Cl,1.1804560644581312,488.4620000000003,4.503920000000004,2.0,6.0,70.67,5.0
Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4c(C)cccc4C)CC3)ccc2s1,1.0,468.62300000000016,3.2175600000000015,2.0,7.0,77.93,8.0
CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C,-0.0,372.46200000000005,1.8583999999999996,2.0,4.0,92.34,9.0
CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,4.886056647693163,353.3690000000001,4.416900000000003,1.0,3.0,45.230000000000004,2.0
Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,4.301029995663981,292.342,3.1679000000000004,1.0,3.0,50.160000000000004,1.0
Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,1.0,394.8620000000002,5.133740000000003,1.0,4.0,67.35000000000001,3.0
CCCCOc1ccc(-n2ccnc2)cc1,5.154901959985743,216.284,3.0512000000000015,0.0,3.0,27.05,5.0
CCCCOc1ccc(-c2cccnc2)cc1,4.337242168318426,227.30700000000002,3.927500000000003,0.0,2.0,22.12,5.0
CCCCOc1ccc(-c2cc(C)no2)cc1,1.8477116556169435,231.295,3.8289200000000028,0.0,3.0,35.260000000000005,5.0
CCCCOc1ccc(-c2[nH]ncc2C)cc1,4.337242168318426,230.311,3.564020000000002,1.0,2.0,37.91,5.0
CCCCOc1ccc(-c2ccno2)cc1,2.490797477668897,217.268,3.520500000000002,0.0,3.0,35.260000000000005,5.0
CCCCOc1cccc(-c2ccno2)c1,3.2441251443275085,217.26799999999997,3.520500000000002,0.0,3.0,35.260000000000005,5.0
CCCCOc1ccc(-n2cncn2)cc1,3.54821356447571,217.272,2.4462,0.0,4.0,39.94,5.0
CCCCOc1ccc(-c2cc[nH]c2)cc1,2.2328441339178196,215.29600000000002,3.8606000000000025,1.0,1.0,25.02,5.0
CCCCOc1ccc(-c2cc[n+](C)[nH]2)cc1,2.0629838925351858,231.31900000000002,2.6851000000000003,1.0,1.0,28.9,5.0
CCCCOc1ccc(-c2ccncc2)cc1,4.337242168318426,227.30700000000002,3.927500000000003,0.0,2.0,22.12,5.0
CCCCOc1ccccc1-c1ccno1,3.9208187539523753,217.26799999999997,3.520500000000002,0.0,3.0,35.260000000000005,5.0
CCCCOc1ccc(-n2ccnc2C)cc1,2.0904439707588245,230.31099999999998,3.3596200000000023,0.0,3.0,27.05,5.0
CCCCOc1ccc(-c2ccnn2C)cc1,1.1555228242543187,230.311,3.266000000000002,0.0,3.0,27.05,5.0
CCCCOc1ccc(N/C=N\O)cc1,2.000869458712629,208.261,2.6949000000000005,2.0,3.0,53.849999999999994,6.0
CCCCOc1ccc(-c2cnccn2)cc1,4.337242168318426,228.29500000000002,3.3225000000000016,0.0,3.0,35.010000000000005,5.0
CCCCOc1ccc(-c2ccns2)cc1,2.899629454882437,233.336,3.9890000000000025,0.0,3.0,22.12,5.0
CCCCOc1ccc(-c2cnco2)cc1,4.337242168318426,217.268,3.520500000000002,0.0,3.0,35.260000000000005,5.0
CCCCOc1ccc(-c2ccon2)cc1,2.593459819566045,217.268,3.520500000000002,0.0,3.0,35.260000000000005,5.0
CCCCOc1ccc(-c2nn[nH]n2)cc1,1.0,218.26000000000002,2.0455999999999994,1.0,4.0,63.690000000000005,5.0
CCCCOc1ccc(-c2ccncn2)cc1,4.337242168318426,228.29500000000002,3.3225000000000016,0.0,3.0,35.010000000000005,5.0
CCCCOc1ccc(-c2cc[nH]n2)cc1,2.2479515521805613,216.28400000000002,3.255600000000001,1.0,2.0,37.91,5.0
CCCCOc1ccc(-n2cncc2C)cc1,4.337242168318426,230.31099999999998,3.3596200000000023,0.0,3.0,27.05,5.0
CCCCc1ccc(/N=C/NO)c(C)c1,3.336299074610352,206.28900000000002,2.9762200000000005,2.0,2.0,44.620000000000005,5.0
CCCCOc1ccc(-c2cc(C)[nH]n2)cc1,1.6757175447023074,230.311,3.564020000000002,1.0,2.0,37.91,5.0
CCCCOc1ccc(-c2ccccn2)cc1,3.3124710387853655,227.30700000000002,3.927500000000003,0.0,2.0,22.12,5.0
CCCCOc1ccc(-c2c[nH]cn2)cc1,2.958607314841775,216.28400000000002,3.255600000000001,1.0,2.0,37.91,5.0
CCCCOc1ccc(-c2ncc[nH]2)cc1,1.5934598195660448,216.28400000000002,3.255600000000001,1.0,2.0,37.91,5.0
CCCCOc1ccc(-c2oncc2C)cc1,4.337242168318426,231.295,3.8289200000000028,0.0,3.0,35.260000000000005,5.0
CCCCOc1ccc(-n2cnc(C)c2)cc1,3.413412695328245,230.31099999999998,3.3596200000000023,0.0,3.0,27.05,5.0
O=C1c2ccccc2CCCN1CCN1CCC(n2c(O)nc3cc(F)ccc32)CC1,1.207608310501746,422.50400000000013,3.6065000000000023,1.0,5.0,61.60000000000001,4.0
CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,1.0,720.8370000000001,7.055400000000008,0.0,8.0,76.26,15.0
COc1cc(OC)c2nc3n(c(=O)c2c1)CCc1c-3[nH]c2ccccc12,4.3872161432802645,347.374,3.118100000000001,1.0,5.0,69.14,2.0
COc1cccc2c(=O)n3c(nc12)-c1[nH]c2ccccc2c1CC3,4.958607314841775,317.3480000000001,3.1095000000000015,1.0,4.0,59.910000000000004,1.0
COc1cc2nc3n(c(=O)c2cc1OC)CCc1c-3[nH]c2ccccc12,0.3010299956639812,347.374,3.118100000000001,1.0,5.0,69.14000000000001,2.0
COc1ccc2c3c([nH]c2c1)-c1nc2ccccc2c(=O)n1CC3,2.703334809738469,317.3480000000001,3.1095000000000015,1.0,4.0,59.91,1.0
O=c1c2cc(Cl)ccc2nc2n1CCc1c-2[nH]c2ccccc12,4.5376020021010435,321.76700000000005,3.7543000000000015,1.0,3.0,50.68,0.0
O=c1c2cc(Br)ccc2nc2n1CCc1c-2[nH]c2ccccc12,2.8236193077567298,366.2180000000001,3.8634000000000013,1.0,3.0,50.68,0.0
CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)[C@@H]21,1.7878123955960423,303.365,3.3148000000000017,1.0,2.0,39.34,0.0
C[n+]1c2n(c(=O)c3ccccc31)CCc1c-2[nH]c2ccccc12,2.2494916051486538,302.35699999999997,2.5304,1.0,2.0,41.67,0.0
COc1ccc2c(=O)n3c(nc2c1OC)-c1[nH]c2ccccc2c1CC3,4.5376020021010435,347.37400000000014,3.118100000000002,1.0,5.0,69.14000000000001,2.0
COc1ccc2nc3n(c(=O)c2c1OC)CCc1c-3[nH]c2ccccc12,2.7619538968712045,347.374,3.118100000000001,1.0,5.0,69.14000000000001,2.0
Oc1c2ccccc2nc2c3nc4ccccc4c-3ccn12,4.522878745280337,285.306,3.8461000000000025,1.0,4.0,50.42,0.0
COc1ccc2[nH]c3c(c2c1)CCn1c-3nc2ccccc2c1=O,2.5346171485515816,317.34800000000007,3.1095000000000015,1.0,4.0,59.910000000000004,1.0
COc1ccc2nc3n(c(=O)c2c1)CCc1c-3[nH]c2ccccc12,3.552841968657781,317.348,3.1095000000000015,1.0,4.0,59.910000000000004,1.0
O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,4.657577319177793,287.322,3.100900000000001,1.0,3.0,50.68,0.0
COc1ccc2c(=O)n3c(nc2c1)-c1[nH]c2ccccc2c1CC3,4.119186407719209,317.3480000000001,3.1095000000000015,1.0,4.0,59.910000000000004,1.0
O=c1c2ccc(Cl)cc2nc2n1CCc1c-2[nH]c2ccccc12,4.4089353929735005,321.76700000000005,3.7543000000000015,1.0,3.0,50.68,0.0
c1cncc(CCCOc2ccc(-n3ccnc3)cc2)c1,4.337242168318426,279.343,3.278900000000002,0.0,4.0,39.94,6.0
CCOC(=O)N1CCN(CCOc2ccc(-n3ccnc3)cc2)CC1,2.6497519816658373,344.4150000000001,2.0252,0.0,6.0,59.830000000000005,6.0
c1cn(-c2ccc(OCCN3CCOCC3)cc2)cn1,2.8297382846050425,273.3359999999999,1.5833,0.0,5.0,39.519999999999996,5.0
CN(C)CCOc1ccc(-n2ccnc2)cc1,1.8239087409443189,231.299,1.8127,0.0,4.0,30.29,5.0
c1cc(CCCOc2ccc(-n3ccnc3)cc2)ccn1,4.337242168318426,279.343,3.278900000000002,0.0,4.0,39.94,6.0
CN(C)CCCOc1ccc(-n2ccnc2)cc1,2.468521082957745,245.32600000000002,2.2028,0.0,4.0,30.29,6.0
c1ccc(CCCOc2ccc(-n3ccnc3)cc2)nc1,4.337242168318426,279.343,3.278900000000001,0.0,4.0,39.94,6.0
CCCCOc1ccc(-n2ccnc2)cc1,5.154901959985743,216.284,3.0512000000000015,0.0,3.0,27.05,5.0
CN(C)CCCCCCOc1ccc(-n2ccnc2)cc1,3.0969100130080562,287.40700000000004,3.3731000000000018,0.0,4.0,30.29,9.0
c1ccc(COc2ccc(-n3ccnc3)cc2)nc1,3.9208187539523753,251.28900000000002,2.8463000000000003,0.0,4.0,39.94,4.0
CCCCCCOc1ccc(-n2ccnc2)cn1,4.337242168318426,245.32600000000002,3.226400000000001,0.0,4.0,39.94,7.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccc(-c3cccnc3)c1)CC2,2.3979400086720375,413.3990000000001,5.370600000000004,1.0,3.0,54.46,3.0
CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,4.886056647693163,353.3690000000001,4.416900000000003,1.0,3.0,45.230000000000004,2.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,1.0,444.4130000000002,5.199320000000004,1.0,5.0,76.58,4.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3)nc1)CC2,2.3979400086720375,430.38600000000014,4.890900000000004,1.0,5.0,76.58,4.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(C)c(-c3cccnc3)c1)CC2,2.154901959985743,427.42600000000016,5.679020000000005,1.0,3.0,54.46,3.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cncc(-c3ccncc3)c1)CC2,1.3010299956639813,414.3870000000001,4.765600000000004,1.0,4.0,67.35,3.0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cncc(-c3ccccc3)c1)CC2,2.5850266520291822,413.3990000000001,5.370600000000004,1.0,3.0,54.46,3.0
CCc1cc(NC(=O)N2CCc3cc(OC)c(C(F)(F)F)cc32)cc(-c2cccnc2)c1,2.221848749616356,441.45300000000003,5.933000000000005,1.0,3.0,54.46000000000001,4.0
